about : 161次
text : 145次
social : 100次
many : 97次
make : 83次
could : 76次
first : 75次
write : 75次
【解析】 : 74次
paragraph : 70次
take : 68次
two : 65次
also : 65次
us : 65次
own : 64次
english : 62次
like : 61次
now : 60次
according : 60次
way : 59次
any : 59次
american : 58次
read : 57次
must : 57次
life : 57次
work : 56次
just : 55次
… : 55次
over : 54次
being : 52次
【考点分析】 : 52次
best : 51次
then : 51次
– : 49次
education : 49次
world : 49次
still : 49次
after : 48次
him : 48次
moral : 48次
reading : 47次
rather : 47次
sheet : 47次
my : 47次
【答案】[b] : 47次
【答案】[c] : 47次
study : 46次
last : 46次
long : 46次
years : 46次
very : 46次
human : 46次
help : 45次
while : 45次
author : 45次
good : 45次
through : 45次
between : 44次
little : 44次
culture : 44次
【答案】[a] : 44次
less : 43次
【答案】[d] : 43次
where : 42次
economic : 42次
well : 42次
without : 42次
need : 42次
writing : 42次
state : 41次
political : 41次
mark : 40次
, : 40次
data : 40次
too : 39次
end : 39次
before : 39次
d. : 38次
public : 38次
every : 38次
different : 38次
federal : 38次
often : 37次
find : 37次
law : 37次
few : 37次
research : 37次
health : 36次
likely : 36次
number : 36次
national : 36次
large : 36次
might : 35次
same : 35次
future : 35次
change : 35次
3 : 35次
does : 35次
better : 35次
. : 35次
media : 35次
c. : 35次
common : 34次
among : 34次
think : 34次
made : 33次
questions : 33次
three : 33次
both : 33次
yet : 33次
become : 33次
intellectual : 33次
influence : 33次
come : 32次
old : 32次
against : 32次
choose : 31次
far : 31次
science : 31次
information : 31次
business : 31次
give : 31次
words : 31次
seems : 31次
says : 31次
used : 31次
since : 30次
get : 30次
around : 30次
things : 30次
see : 30次
4 : 30次
legal : 30次
financial : 30次
【答案】 : 30次
researchers : 29次
another : 29次
early : 29次
high : 29次
students : 29次
children : 29次
government : 28次
look : 28次
once : 28次
why : 28次
making : 28次
role : 28次
european : 28次
enough : 28次
thinking : 28次
music : 28次
others : 27次
did : 27次
idea : 27次
language : 27次
don’t : 27次
mental : 27次
system : 27次
b. : 27次
选项a. : 27次
keep : 26次
comprehension : 26次
answers : 26次
major : 26次
higher : 26次
year : 26次
fashion : 26次
want : 26次
power : 26次
means : 26次
happiness : 26次
numbered : 25次
doing : 25次
know : 25次
especially : 25次
young : 25次
within : 25次
history : 25次
it’s : 25次
during : 25次
four : 24次
pay : 24次
world. : 24次
attitude : 24次
countries : 24次
case : 24次
important : 24次
company : 24次
phone : 24次
neatly : 24次
value : 24次
live : 24次
seem : 24次
show : 23次
cannot : 23次
always : 23次
development : 23次
society : 23次
attention : 23次
suggests : 23次
pressure : 23次
problems : 23次
probably : 23次
changes : 23次
parents : 23次
instead : 23次
scientific : 23次
testing : 23次
sheet. : 22次
feel : 22次
university : 22次
under : 22次
name : 22次
form : 22次
past : 22次
though : 22次
“the : 22次
matter : 22次
longer : 22次
court : 22次
given : 22次
job : 22次
never : 22次
companies : 22次
place : 22次
consumers : 22次
all, : 22次
evidence : 22次
off : 22次
learn : 22次
am : 22次
picture : 22次
internet : 22次
mind : 22次
effect : 22次
dna : 22次
support : 21次
found : 21次
view : 21次
life. : 21次
today’s : 21次
half : 21次
global : 21次
kind : 21次
individual : 21次
certain : 21次
international : 21次
possible : 21次
theory : 21次
modern : 21次
whether : 21次
improve : 21次
test : 21次
food : 21次
species : 21次
homeless : 21次
ii : 20次
below : 20次
choosing : 20次
least : 20次
costs : 20次
makes : 20次
32. : 20次
34. : 20次
basic : 20次
rules : 20次
average : 20次
shows : 20次
primary : 20次
child : 20次
say : 20次
family : 20次
liberal : 20次
intended : 20次
thus : 20次
bring : 19次
that, : 19次
reason : 19次
back : 19次
26. : 19次
27. : 19次
30. : 19次
31. : 19次
working : 19次
translation : 19次
based : 19次
example : 19次
physical : 19次
go : 19次
set : 19次
great : 19次
something : 19次
formal : 19次
changed : 19次
dr. : 19次
public-sector : 19次
bad : 19次
getting : 18次
explain : 18次
24. : 18次
problem : 18次
25. : 18次
text? : 18次
cultural : 18次
perhaps : 18次
28. : 18次
said : 18次
efforts : 18次
35. : 18次
37. : 18次
39. : 18次
40. : 18次
paragraphs : 18次
published : 18次
became : 18次
drawing : 18次
left : 18次
describe : 18次
right : 18次
peer : 18次
accept : 18次
create : 18次
paper : 18次
online : 18次
professional : 18次
available : 18次
technology : 18次
b, : 17次
believe : 17次
recent : 17次
— : 17次
real : 17次
process : 17次
current : 17次
22. : 17次
23. : 17次
living : 17次
going : 17次
dreams : 17次
33. : 17次
results : 17次
36. : 17次
38. : 17次
needs : 17次
book : 17次
british : 17次
carefully : 17次
sign : 17次
2) : 17次
women : 17次
building : 17次
put : 17次
strong : 17次
together : 17次
looking : 17次
quality : 17次
really : 17次
fit : 17次
share : 17次
evolution : 17次
search : 17次
turn : 17次
thought : 17次
ways : 17次
order : 17次
intelligence : 17次
nature : 17次
example, : 17次
single : 17次
letter : 17次
conduct : 17次
word : 16次
a, : 16次
body : 16次
risk : 16次
16. : 16次
increase : 16次
21. : 16次
meaning : 16次
above : 16次
today : 16次
true : 16次
religious : 16次
poor : 16次
factors : 16次
contribute : 16次
justices : 16次
act : 16次
underlined : 16次
list : 16次
man : 16次
written : 16次
several : 16次
market : 16次
iii : 16次
essay : 16次
industry : 16次
lost : 16次
particular : 16次
led : 16次
local : 16次
them. : 16次
negative : 16次
times : 16次
environment : 16次
lives : 16次
largely : 16次
20. : 16次
families : 16次
potential : 16次
one’s : 16次
original : 16次
brain : 16次
report : 16次
discovery : 16次
animals : 16次
humans : 16次
genetic : 16次
iq : 16次
biomass : 16次
art : 16次
text. : 15次
greater : 15次
ones : 15次
stress : 15次
increasingly : 15次
focus : 15次
million : 15次
big : 15次
importance : 15次
brought : 15次
inferred : 15次
sense : 15次
simply : 15次
suggest : 15次
generally : 15次
known : 15次
having : 15次
segments : 15次
position : 15次
advantage : 15次
present : 15次
1) : 15次
traditional : 15次
easy : 15次
19. : 15次
define : 15次
result : 15次
doubt : 15次
america’s : 15次
print : 15次
down : 15次
begin : 15次
similar : 15次
takes : 15次
loss : 15次
habits : 15次
research. : 15次
criticism : 15次
dnt : 15次
independent : 15次
task : 15次
tend : 15次
day : 14次
percent : 14次
got : 14次
including : 14次
face : 14次
(40 : 14次
security : 14次
issue : 14次
avoid : 14次
allow : 14次
small : 14次
group : 14次
control : 14次
growth : 14次
seen : 14次
essential : 14次
consider : 14次
access : 14次
came : 14次
translate : 14次
chinese. : 14次
united : 14次
earn : 14次
(20 : 14次
offer : 14次
mass : 14次
impact : 14次
service : 14次
century : 14次
comes : 14次
it, : 14次
sometimes : 14次
move : 14次
try : 14次
believes : 14次
taken : 14次
point : 14次
lack : 14次
daily : 14次
100 : 14次
kids : 14次
unique : 14次
17. : 14次
18. : 14次
outside : 14次
scientists : 14次
points : 14次
towards : 14次
immigration : 14次
almost : 14次
degree : 14次
ideas : 14次
until : 14次
problems. : 14次
function : 14次
men : 14次
obvious : 14次
townsfolk : 14次
usually : 13次
notes : 13次
texts. : 13次
u.s. : 13次
americans : 13次
measures : 13次
due : 13次
step : 13次
members : 13次
society. : 13次
understanding : 13次
across : 13次
question : 13次
world, : 13次
decision : 13次
kinds : 13次
required : 13次
instead. : 13次
increasing : 13次
age : 13次
popularity : 13次
further : 13次
achieve : 13次
necessary : 13次
3) : 13次
models : 13次
using : 13次
clearly : 13次
title : 13次
limited : 13次
foreign : 13次
influenced : 13次
(line : 13次
